,Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
0,Cheques,Shubh,Still Rollin,5AivaZj0CiQJoDWqVH2pbh,4eBvRhTJ2AcxCsbfTUjoRp,88,2023-05-19,183757,False,https://open.spotify.com/track/4eBvRhTJ2AcxCsbfTUjoRp,0.742,0.627,4,-8.939,0,0.0533,0.262,1.23e-05,0.269,0.356,89.998
1,Mahiye Jinna Sohna,Darshan Raval,Mahiye Jinna Sohna,4fiPkVR8M247hQBOYLkwBq,2ncqKdTj6dz7tWoTMMrAtq,85,2023-06-22,181250,False,https://open.spotify.com/track/2ncqKdTj6dz7tWoTMMrAtq,0.567,0.54,1,-5.754,1,0.0406,0.736,3.17e-05,0.164,0.331,92.027
2,True Stories,"AP Dhillon, Shinda Kahlon",True Stories,7JABHOzxcWGwmihIUq13dl,28lvraTNIN8qiTpoIK7m8Z,82,2023-06-16,117973,False,https://open.spotify.com/track/28lvraTNIN8qiTpoIK7m8Z,0.725,0.658,1,-8.906,1,0.268,0.299,7.38e-05,0.209,0.443,147.936
3,"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")","Vishal Mishra, Rashmeet Kaur","Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",0kZKLq2WZQWvXvbxvK6YoC,0645eBDehHcqfiF15hscQV,84,2023-03-17,223390,False,https://open.spotify.com/track/0645eBDehHcqfiF15hscQV,0.578,0.444,8,-11.447,0,0.0644,0.44,0.0,0.146,0.36,76.032
4,Heeriye (feat. Arijit Singh),"Jasleen Royal, Arijit Singh, Dulquer Salmaan",Heeriye (feat. Arijit Singh),1wt2WZBZZ9GhM0AC61l7SS,5PUXKVVVQ74C3gl5vKy9Li,88,2023-07-25,194857,False,https://open.spotify.com/track/5PUXKVVVQ74C3gl5vKy9Li,0.728,0.494,6,-9.628,0,0.0256,0.516,0.00384,0.0759,0.558,105.007
5,"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")","Pritam, Arijit Singh, Jonita Gandhi, Ranveer Singh, Madan Mohan, Amitabh Bhattacharya","What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",4mrXgKhegKi7Ol4pdN4z3Q,4QyX8CBSjcoq4iMZuvifyF,70,2023-07-12,213611,False,https://open.spotify.com/track/4QyX8CBSjcoq4iMZuvifyF,0.821,0.823,2,-5.455,1,0.1,0.235,0.0,0.207,0.479,107.953
6,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",Seven (feat. Latto),53985D8g3JcGBoULSOYYKX,7x9aauaA9cu6tyfpHnqDLo,99,2023-07-14,185427,True,https://open.spotify.com/track/7x9aauaA9cu6tyfpHnqDLo,0.802,0.832,11,-4.107,1,0.0434,0.311,0.0,0.0815,0.89,124.997
7,"Hukum - Thalaivar Alappara (From ""Jailer"")","Anirudh Ravichander, Super Subu","Hukum - Thalaivar Alappara (From ""Jailer"")",09fIr7A4cAEktUmCMg7dJd,3pDbPKZHrpHAWcJVMsrNwA,85,2023-07-17,207647,False,https://open.spotify.com/track/3pDbPKZHrpHAWcJVMsrNwA,0.723,0.892,2,-5.758,1,0.164,0.102,0.0,0.146,0.533,101.996
8,Cupid - Twin Ver.,FIFTY FIFTY,The Beginning: Cupid,5letLUZIFsQikJYShfGNs4,7FbrGaHYVDmfr7KoLIZnQ7,94,2023-02-24,174253,False,https://open.spotify.com/track/7FbrGaHYVDmfr7KoLIZnQ7,0.783,0.592,11,-8.332,0,0.0331,0.435,4.15e-06,0.347,0.726,120.018
9,Calm Down (with Selena Gomez),"Rema, Selena Gomez",Calm Down (with Selena Gomez),2b2GHWESCWEuHiCZ2Skedp,0WtM2NBVQNNJLh6scP13H8,92,2022-08-25,239318,False,https://open.spotify.com/track/0WtM2NBVQNNJLh6scP13H8,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999
10,Until I Found You (with Em Beihold) - Em Beihold Version,"Stephen Sanchez, Em Beihold",Until I Found You (Em Beihold Version),7ARtQpvnPN2ucbmVHngLOs,1Y3LN4zO1Edc2EluIoSPJN,91,2022-04-22,176440,False,https://open.spotify.com/track/1Y3LN4zO1Edc2EluIoSPJN,0.551,0.55,10,-5.339,1,0.0286,0.777,0.0,0.202,0.342,101.19
11,People,Libianca,People,5Hmh6N8oisrcuZKa8EY5dn,26b3oVLrRUaaybJulow9kz,90,2022-12-06,184791,False,https://open.spotify.com/track/26b3oVLrRUaaybJulow9kz,0.573,0.422,10,-7.621,0,0.0678,0.551,1.31e-05,0.102,0.693,124.357
12,Dandelions,Ruth B.,Safe Haven,6FgtuX3PtiB5civjHYhc52,2eAvDnpXP5W0cVtiI0PUxV,90,2017-05-05,233720,False,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV,0.609,0.692,1,-2.958,1,0.0259,0.0157,0.0,0.0864,0.454,116.959
13,What It Is (Solo Version),Doechii,What It Is (Versions),71MqBkcflJ1Rz1SHo8XSi5,73RbfOTJIjHzi2pcVHjeHM,90,2023-03-17,189825,True,https://open.spotify.com/track/73RbfOTJIjHzi2pcVHjeHM,0.74,0.758,1,-5.851,0,0.0921,0.061,1.44e-06,0.0967,0.757,171.925
14,Under The Influence,Chris Brown,Indigo (Extended),3okhA6w5uau6ZNhnVpwVww,5IgjP7X4th6nMNDh4akUHb,89,2019-10-04,184613,True,https://open.spotify.com/track/5IgjP7X4th6nMNDh4akUHb,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992
